match_id,league,season,matchup,kickoff_display,market,selection_label,model_opinion,bookmaker,decimal_odds,second_best_odds,market_average_odds,model_probability,fair_prob,edge_pct,strength_label,stake_suggestion,safe_stake_units,safe_kelly_bankroll_pct,aggressive_kelly_bankroll_pct
FD_PL_538089,EPL,2025/2026,Fulham FC vs Burnley FC,Sat 21 Mar 15:00,1x2,Away Win,VALUE BET [MEDIUM],Matchbook,6.8,6.8,6.177777777777778,0.24330169853052444,0.14501628664495117,9.83,medium,Full stake (25 units),28.209118534808887,2.82,5.0
FD_PD_544499,La Liga,2025/2026,CA Osasuna vs Girona FC,Sat 21 Mar 17:30,1x2,Away Win,VALUE BET [MEDIUM],Betfair,3.6,3.55,3.341176470588235,0.37360569517176817,0.2750497330122501,9.86,medium,Full stake (25 units),33.17120217484283,3.32,5.0
FD_PL_538090,EPL,2025/2026,Leeds United FC vs Brentford FC,Sat 21 Mar 20:00,1x2,Away Win,VALUE BET [MEDIUM],Matchbook,2.98,2.98,2.7766666666666664,0.4287767258584167,0.3306160094015441,9.82,medium,Full stake (25 units),35.07003068915174,3.51,5.0
FD_PL_538093,EPL,2025/2026,Tottenham Hotspur FC vs Nottingham Forest FC,Sun 22 Mar 14:15,1x2,Home Win,VALUE BET [WATCH],Betfair,2.32,2.3,2.2211111111111115,0.4967311955422004,0.4264010319621614,7.03,watch,Half stake (12.5 units),28.866737435209274,2.89,5.0
FD_PL_538093,EPL,2025/2026,Tottenham Hotspur FC vs Nottingham Forest FC,Sun 22 Mar 14:15,home_win,Home Win,VALUE BET [WATCH],Betfair,2.32,2.3,2.2211111111111115,0.4967311955422004,0.4264010319621614,7.03,watch,Half stake (12.5 units),28.866737435209274,2.89,5.0
FD_BL1_540648,Bundesliga,2025/2026,Borussia Dortmund vs Hamburger SV,Sat 21 Mar 17:30,over_2_5,Under 2.5 Goals,VALUE BET [WATCH],William Hill,2.5,,2.5,0.44267516643177646,0.375,6.77,watch,Half stake (12.5 units),17.78131934657353,1.78,5.0
FD_BL1_540648,Bundesliga,2025/2026,Borussia Dortmund vs Hamburger SV,Sat 21 Mar 17:30,1x2,Away Win,VALUE BET [WATCH],Smarkets,8.4,8.2,7.061111111111111,0.1748667525063857,0.11746737017495139,5.74,watch,Small stake (6.25 units),15.840564900460809,1.58,5.0
FD_PL_538093,EPL,2025/2026,Tottenham Hotspur FC vs Nottingham Forest FC,Sun 22 Mar 14:15,over_2_5,Over 2.5 Goals,VALUE BET [WATCH],Matchbook,1.95,1.91,1.8939999999999997,0.5617500568516784,0.5038167938931298,5.79,watch,Small stake (6.25 units),25.108581805466557,2.51,5.0
FD_PL_538086,EPL,2025/2026,Aston Villa FC vs West Ham United FC,Sun 22 Mar 14:15,1x2,Home Win,VALUE BET [WATCH],Matchbook,2.02,2.02,1.943888888888889,0.5462963294824728,0.48931658783232757,5.7,watch,Small stake (6.25 units),25.372202341812482,2.54,5.0
FD_PL_538086,EPL,2025/2026,Aston Villa FC vs West Ham United FC,Sun 22 Mar 14:15,home_win,Home Win,VALUE BET [WATCH],Matchbook,2.02,2.02,1.943888888888889,0.5462963294824728,0.48931658783232757,5.7,watch,Small stake (6.25 units),25.372202341812482,2.54,5.0
FD_PL_538090,EPL,2025/2026,Leeds United FC vs Brentford FC,Sat 21 Mar 20:00,over_2_5,Over 2.5 Goals,VALUE BET [WATCH],Casumo,1.91,1.91,1.8800000000000001,0.5528990508706224,0.4947089947089948,5.82,watch,Small stake (6.25 units),15.39483163815625,1.54,5.0
