number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,1.1685804124976322,2026-03-20 15:41:25.887578,2026-03-20 15:41:28.548154,0 days 00:00:02.660576,0.6610885193596282,0.010081541037566063,5,452,73,0.010610545129101432,1.276530559761086,0.7593121695476669,COMPLETE
1,1.1685804124976322,2026-03-20 15:41:28.548512,2026-03-20 15:41:28.770532,0 days 00:00:00.222020,0.8722390430575606,0.13686001271808854,32,285,111,0.04317375799316769,0.1611347504715649,0.8306573788029266,COMPLETE
2,1.1685804124976322,2026-03-20 15:41:28.771012,2026-03-20 15:41:28.999386,0 days 00:00:00.228374,0.9240766124457813,0.033036855208217024,23,312,90,0.00018743341514675617,0.005123936380087202,0.6854725829595905,COMPLETE
3,1.1685804124976322,2026-03-20 15:41:28.999751,2026-03-20 15:41:29.193431,0 days 00:00:00.193680,0.66374777745593,0.027684530335046108,7,252,119,0.0013800979661750992,0.025385660383693966,0.9337781742748015,COMPLETE
4,1.1685804124976322,2026-03-20 15:41:29.193713,2026-03-20 15:41:29.421476,0 days 00:00:00.227763,0.7325706975618852,0.013134258436902456,16,306,60,0.0008466724377377186,4.587211949732401,0.779561633855697,COMPLETE
5,1.1685804124976322,2026-03-20 15:41:29.421779,2026-03-20 15:41:29.657292,0 days 00:00:00.235513,0.9833458229832147,0.14017517940336355,22,181,84,0.044612416376918,0.2009683687827172,0.9852819984379143,COMPLETE
6,1.1685804124976322,2026-03-20 15:41:29.657594,2026-03-20 15:41:29.958598,0 days 00:00:00.301004,0.6215500928908934,0.011095427765462662,26,322,116,0.00425142840666908,1.8724027021122964,0.870192522358473,COMPLETE
7,1.1685804124976322,2026-03-20 15:41:29.958956,2026-03-20 15:41:30.180717,0 days 00:00:00.221761,0.8554377843398235,0.02427986839147072,7,177,69,0.0010099167782978689,2.7928167681919573,0.6410838203837079,COMPLETE
8,1.1685804124976322,2026-03-20 15:41:30.181035,2026-03-20 15:41:30.412583,0 days 00:00:00.231548,0.7384050066100828,0.011840433789520375,39,311,62,1.290065024075336,0.002071023472801128,0.725420438273946,COMPLETE
9,1.1685804124976322,2026-03-20 15:41:30.412902,2026-03-20 15:41:30.653079,0 days 00:00:00.240177,0.8898972951468093,0.10065991168178809,42,340,58,0.12902161828077757,0.00010418106578131366,0.7091998961586613,COMPLETE
10,1.1685804124976322,2026-03-20 15:41:30.653522,2026-03-20 15:41:30.984554,0 days 00:00:00.331032,0.7658325778213617,0.05648919177399264,13,483,23,9.85331630098127,0.28963987941598096,0.778136737838963,COMPLETE
11,1.1685804124976322,2026-03-20 15:41:30.984824,2026-03-20 15:41:31.296023,0 days 00:00:00.311199,0.8196555656868383,0.05833476851482161,35,447,99,0.016411860397442104,0.32172451104482225,0.8498976882599404,COMPLETE
12,1.1685804124976322,2026-03-20 15:41:31.296426,2026-03-20 15:41:31.569235,0 days 00:00:00.272809,0.6841872413294702,0.019082155210825773,47,414,34,0.1985029832631989,0.05585833050713238,0.8447189780541781,COMPLETE
13,1.1685804124976322,2026-03-20 15:41:31.569592,2026-03-20 15:41:31.850841,0 days 00:00:00.281249,0.8042882138020149,0.05658296304371192,32,390,104,0.013333156665143127,0.780490532286559,0.800048984944638,COMPLETE
14,1.1685804124976322,2026-03-20 15:41:31.851197,2026-03-20 15:41:32.076914,0 days 00:00:00.225717,0.6010113688150368,0.09934292826495253,16,260,83,0.35544958447714464,9.020131114863101,0.9069134621631898,COMPLETE
15,1.1685804124976322,2026-03-20 15:41:32.077208,2026-03-20 15:41:32.404047,0 days 00:00:00.326839,0.9476909600435788,0.017672670194467454,31,373,41,0.005411240992643062,0.047137088486629904,0.6020054894498487,COMPLETE
16,1.1685804124976322,2026-03-20 15:41:32.404411,2026-03-20 15:41:32.712389,0 days 00:00:00.307978,0.8867084313768884,0.04521423766720568,47,496,103,0.04403691965363642,1.0415417260930586,0.8013570676688779,COMPLETE
17,1.1685804124976322,2026-03-20 15:41:32.712815,2026-03-20 15:41:32.921525,0 days 00:00:00.208710,0.6834154938947534,0.14461952585265775,20,246,125,1.9899987063548465,0.007560441919999433,0.7338900670004297,COMPLETE
18,1.1685804124976322,2026-03-20 15:41:32.921901,2026-03-20 15:41:33.134688,0 days 00:00:00.212787,0.7613599204251955,0.0834524173985578,37,224,46,0.07351576737926002,0.1633148318761242,0.6698516819411713,COMPLETE
19,1.1685804124976322,2026-03-20 15:41:33.134974,2026-03-20 15:41:33.436684,0 days 00:00:00.301710,0.8642025741400965,0.038998438543372385,30,435,79,0.00010558779867821166,0.00010197725874504568,0.756841679557873,COMPLETE
